Title,Location,Price,Time
Google Pixel 7 pro 12gb 128gb PTA Approved official,"Abdullah Haroon Road, Karachi•","Rs 95,000",1 day ago
IP Phone Cisco | Grandstream | Polycom | Dlink VOIP pbx phone Exchange,"Hall Road, Lahore•","Rs 2,499",4 days ago
oppo A16 6gb 128gb oppo A17 6gb 128gb PTA approved life time warranty,"D Ground, Faisalabad•","Rs 21,499",4 days ago
I PHONE 8 PLUS 64gb PTA APPROVED,"Fine City, Karachi•","Rs 54,000",3 weeks ago
Iphone11promax 64gb waterpack non pta fimal price,"Saddar, Rawalpindi•","Rs 85,000",3 days ago
"Iphone 13 PRO, 128GB, Non PTA","Johar Town Phase 1, Lahore•","Rs 169,000",16 minutes ago
google pixel 6,"Latifabad, Hyderabad•","Rs 38,000",16 minutes ago
"iphone xs , PTA Approved , 256gb","Samungli Housing Scheme, Quetta•","Rs 95,000",16 minutes ago
Iphone 11 Jv,"Kakul Road, Abbottabad•","Rs 84,000",16 minutes ago
I phone x non pta 256 gb,"D Ground, Faisalabad•","Rs 55,000",17 minutes ago
iphone 14promax non active,"Allama Iqbal Road, Toba Tek singh•","Rs 235,000",17 minutes ago
serious byer contect,"Latifabad Unit 8, Hyderabad•","Rs 45,000",16 minutes ago
IPhone X (256 gb),"Chaklala Scheme, Rawalpindi•","Rs 46,000",17 minutes ago
Google pixel 3axl,"Ranchore Line Bazar, Karachi•","Rs 26,000",17 minutes ago
One plus 7 pro,"Wapda Town, Gujranwala•","Rs 78,000",16 minutes ago
tecno 6/128 pta Approved,"North Karachi, Karachi•","Rs 23,000",16 minutes ago
IPhone 7 Plus 256gb official PTA approved only phone,"Allama Iqbal Town, Lahore•","Rs 40,000",15 minutes ago
IPhone XR 64 Gb,"Satellite Town, Rahimyar Khan•","Rs 63,500",17 minutes ago
iPhone 12 pro max,"Jinnah Colony, Lahore•","Rs 140,000",1 day ago
IPhone 11 pro 256 GB - Non PTA,"Valencia Town, Lahore•","Rs 96,000",4 days ago
i phone 11 pro max,"Model Town, Lahore•","Rs 115,000",6 days ago
Samsung s23,"Bahria Town - Sector B, Lahore•","Rs 115,000",6 days ago
Redmi Note 12 - Box Open - 1 Month used,"Supply, Abbottabad•","Rs 48,999",1 hour ago
Iphone 15 pro max TRA Natural 256 BH 100,"I-8, Islamabad•","Rs 350,000",2 days ago
Iphone 12 128gb,"Faisal Cantonment, Karachi•","Rs 98,000",18 minutes ago
iPhone 14pro max 256,"Bahadurabad, Karachi•",Rs 300,18 minutes ago
Selling one plus 7t,"Kahuta, Rawalpindi•","Rs 58,500",18 minutes ago
iphone 7  plus all ok,"Saddar, Karachi•","Rs 48,000",18 minutes ago
Tecno Camon 20,"North Karachi - Sector 5-C, Karachi•","Rs 39,000",18 minutes ago
iphone xr 64gb factory unlocked,"Kashmir Colony, Karachi•","Rs 50,000",18 minutes ago
Iphone Xs Dual sim PTA Approved,"Darya Khan Road, Bhakkar•","Rs 80,000",18 minutes ago
iPhone 15 Pro Max 256 GB PTA Approved non active,"Clifton Colony, Lahore•","Rs 510,000",18 minutes ago
vivo v21e 8/128 Box pack Condition 10/10,"Model Town - Block R, Lahore•","Rs 59,000",18 minutes ago
samsung grand 2 prime dual sim 1gb ram 8gb memory,"Dhok Sayedan Road, Rawalpindi•","Rs 3,500",18 minutes ago
Brand New,"New Pind, Sukkur•","Rs 40,000",18 minutes ago
iphone 13 Non PTA,"Salamatpura, Lahore•","Rs 150,000",19 minutes ago
iphone 14promax pta approved,"Pakistan Chowk, Karachi•","Rs 410,000",19 minutes ago
iphone 12 pro max 256 pta approved,"Bahria Town, Lahore•","Rs 230,000",12 hours ago
I phone 14 Pro,"Others, Karachi•","Rs 240,000",2 days ago
Vivo Y93 full box all accessories 6/128,"Jail Road, Faisalabad•","Rs 16,000",2 weeks ago
15 pro 256 gb Blue Lla,"Ferozepur Road, Lahore•","Rs 335,000",2 days ago
Iphone 13 promax 128 gb,"Johar Colony, Faisalabad•","Rs 187,000",5 hours ago
i phone 13 pro max,"Faisal Town, Lahore•","Rs 310,000",6 days ago
Iphonexr,"Havelian, Abbottabad•","Rs 48,000",19 minutes ago
huawei y9 prime,"AL Raheem Garden Phase V, Lahore•","Rs 24,000",18 minutes ago
Redmi note 10 4/128,"Others, Gujrat•","Rs 27,000",18 minutes ago
IPhone 11 pro,"Chaklala, Rawalpindi•","Rs 84,000",18 minutes ago
MI10T 90FPS PUBG  fast charger 33wd box all accessories,"Airbase Road, Jacobabad•","Rs 59,000",19 minutes ago
Samsung j7 condition 10 by 8 panel change only mobile pta approved,"Gawalmandi, Lahore•","Rs 5,500",19 minutes ago
